title,story
제제와 함께,출산도 육아도 처음인 초보맘에게 너무나 소중한 첫째 아들이 태어났고..둘째 딸의 출산과 첫째 아이 자폐진단..연년생 막내 딸 까지 태어나면서 힘든 환경과 마주하게 되는 일상 이야기 발달장애 아이와 연년생 자매 결코 쉽지 않은 조합과 여건속에서 엄마의 마음과 세상의 시선..아이의 성장과 앞으로의 미래를 준비해 나가는 성장스토리 입니다
안녕!도깨비야,"도깨비 '물'의 실수로 [인간 금지구역]인 도깨비 나라에 넘어오게 된 소녀 '박하' 이곳에 온 인간은 모두 처형해야 했지만, 자신의 실수로 피해를 입힐 수 없었던 '물'은 '박하'의 탈출을 도와주기로 한다. 살아서 돌아다니는 인간이 있다는 걸 알게 된 대왕 도깨비와 수많은 요괴들. 박하는 이들을 피해 안전하게 돌아갈 수 있을까?"
소중한 하루를 살다,"모두의 하루하루가 소중하다는 것을 많은 사람들이 알았으면 하는 마음으로 그림일기를 그립니다. =) 모두의 하루는 소중한 시간이며, 무의미한 일상이란 없으니까요~"
오늘부터 G.A.B님과 함께 살게 되었습니다,"어느날 보안회사에 오게 된 인공지능 로봇 갑(G.A.B). 보안에 대해선 1도 모르는 갑, 갑을 성장시키는 임무를 맡은 박주임, 그리고 정체를 알 수 없는 보안회사 사람들의 좌충우돌 스토리...! (매주 수요일 연재)"
맹랑맘마,84화부터 연재 중입니다. 작가 블로그로 오시면 첫 화부터 최신 화까지 모두 보실 수 있습니다 :)
공동급식구역(베도승격),내가 쓰레기반이라고? 전학생 이사나는 룰을 부수기 위해 싸우기로 결심한다.
30대 백수 외톨이 일기,숨쉬는 대가로 월급을 받는 게 소원인 30대 백수 소나기양의 리얼한 하루하루
페이탈 레시피,카사노바는 여성을 유혹하기 위해 요리책을 만들 정도로 미식에 관심이 많았다.인간이 거부할 수 없는 욕구중 하나인 식욕. 선의 약속으로 포장된 미식의 세계! 허나 그 약속이 깨진다면? 훌륭한 요리는 우리의 오감을 장악한다. 헌데 그 음식을 스토커가 만들었고 오직 스토커만이 만들 수 있다면 이야기는 달라진다. 힐링과 킬링의 경계를 주무르는 스토커 셰프의 스토킹 이야기.
가족입니다.,소팔복씨의 치킨을 향한 열정적인 사랑과 그것을 저지하는 힘센 부인쟁이! 그리고 아무도 이길수 없는 지욱이의 좌충우돌 코믹 리얼 가족 버라이어티!!
고고고,"""너, 내 집사가 되어라!"" 어느 날 갑자기 고양이 세 마리의 간택을 받게 된 집사! 겉모습만큼 성격도 가지각색인 고양이 세 마리와 집사의 털 날리는 일상 이야기. 매주 화요일 연재 / 인스타 @kkyul_jmt / 메일 ehowlgldus@naver.com"
우주동물원,지구에서 불행하게 살던 철민이가 외계인한테 납치당해 외계인 공주의 동물원에서 사는 이야기
안녕오존,오존의 평범하면서도 특별한 일상툰! 혼자만 알기 아까웠던 웃긴 이야기를 공유합니다 매주 수요일 연재! ★https://www.instagram.com/03_ozone/ ☆https://twitter.com/o03ozone
조금 수상한 연애시뮬레이션,미연시의 주인공이 되었는데 축복이 아니라 저주같다 (수요일 업데이트)
굥이의 하루,진도로 귀농을 한 굥이네 가족의 우당탕탕 일상이야기를 만나보세요~
김치걸 밀크티보이,"한국여자 진과 홍콩남자 마틴의 국제연애, 국제결혼 이야기!"
카나와 초나의 독일,한국인 카나 & 초나 부부의 독일 생활 이야기
부온아페티토_찌맥툰,이탈리아에서의 나의 식탁 이야기
더 히트맨,"""누구도 믿을 수 없지만, 누구라도 믿고싶다."" 삶의 이유가 필요한 히트맨 '울프' 와 자신의 파트너가 필요한 '플루토' 서로의 필요에 의한 임시동맹. (매주 금요일) kdg1511@gmail.com"
파랑새 죽이기,평범한 고등학생 하나는 어느 날 계단에서 넘어져 '원화'라는 세계로 떨어져 버린다. 그리고 그곳에서 도원이라는 수상한 남자를 만나게 되고 원래 세계로 돌아가기 위해선 이 세계에서 신으로 여겨지는 파랑새를 죽여야 한다는데... 과연 하나는 파랑새를 죽이고 원래 세계로 돌아갈 수 있을까? //휴재
낯가리는 관종,첫 인상은 내향적이며 낯가리는 듯...?하지만 알고보니 관심종자! 내향적이고 낯가리는 시논의 관종일기
직장인 다이어리,평범한 40대 직장인의 일상입니다. 인스타 계정 clarksteel11
지배자들,"자신의 가족을 죽이고 태어난 행성 미바나를 지배할 운명인 혼혈 외계인 하릴. 가족을 갖고 싶은 인간의 마음과 죽이려는 외계인의 본능, 둘 중 하릴의 선택은 무엇일까? 격주 일요일에 업로드"
여대생존기,'여대생들 진짜 기싸움 심해?' 주변인들의 질문에 걱정 가득안고 뒤늦게 들어간 여대생활! 하지만 첫 오티부터 범상치 않는 사람들을 만나며 충격에 빠지는데...! 실화 기반 웹툰 <격주 화요일 업로드 됩니다>
집에서 뽀짝뽀짝,어딘가 어설픈 홈베이킹!을 곁들인 일상을 그려내요. 메일 -> grang2022@naver.com 인스타 -> grang_rmfkd
X-시점,웹툰 속 엑스트라 '정서연'은 하나뿐인 친구 전수진이 웹툰 속 연출로 인해 죽게 된 것을 알게 되자 주인공을 죽여버리고 만다. 하지만 죽은 줄로만 알았던 주인공이 살아 돌아왔다. 이게 대체 어떻게 된 거지?
봄과 여름 사이,정식 연재 협의 중입니다
오디네리 피플,"1+1=3가족 아직도 알쏭달쏭 잘 모르지만, 우리집과 그의집의 평범한 일상에 대한 관찰."
육아의 계절,"서로 비슷하면서도 많이 다른 부부, 그리고 서로 비슷하면서도 많이 다른 남매 로미 보리. 두 아이와 함께 자라는 네 가족 성장기."
집에서 뒹굴뒹굴,"내가 100년, 아이들이 100년을 산다고 해도 다 같이 사는 시간은 겨우 20년정도. ""100년 중에 몇 년 쯤이야 집에서 살 부비며 뒹굴뒹굴 하자~"" 집에서 아이들과 지낸 일상 에피소드 <집에서 뒹굴뒹굴> - 매주 화요일 연재 -"
미필은 노하이,군대에선 실화가 된다? 대한민국 군필 여러분들의 웃픈 이야기를 그립니다.
별을 향해,주황색 별에 살며 우주 여행을 꿈꾸는 작은 아이. 아이의 앞에 어떤 일들이 펼쳐질까요? (격주 화요일 연재입니다.)
외국 in 한국,"영국인의 한국일상 이야기 안녕하세요! 저의 이름은 매튜입니다. My name is Matthew, and I'm an English guy living and working in Korea. This comic is about my experiences in Korea! I hope you like looking at my pictures, and thank you for making me feel welcome in your country! ^^ 감사합니다!"
재테크는 스크루지,현대판 스크루지 남편에게 차근차근 배워가는 재테크 이야기. 가계부 쓰기부터 주식투자에 이르기까지 초보자들을 위한 경제 웹툰! 지금 시작합니다! 월요일 연재입니다~^^
아타나시아,불사를 이뤄주는 마법 '불사술식'이 널리 퍼지면서 불사를 얻은 마법사들이 늘어나게 된다. 이런 불사자들 중 사람을 제물로 쓰는 마법사를 '불법 불사자'라 불리며 이들을 단속하기 위해 '불사과'라는 부서가 세워지게 된다. (월 1~2회 연재)
해체부대,[매주 월요일 오후10시] 폐급이 되고 싶어 연기하는 인간과 태생이 폐급인 도깨비들의 감동 실화 이야기
백발의 유성,저주받은 소녀가 헤쳐나가는 동양풍 액션 로맨스 판타지. [자유연재]
후손들의 이야기,SF 이야기들. 자유연재. '우주의 꿈'과 '영원한 요새'가 번갈아 연재 됩니다.
158동 진상부부,"매주 월요일 업로드합니다^^ 어느 평범한 아파트 158동에 사는 부부의 '진'짜 일'상'을 담아 '158동 진상부부'입니다. 징징돌이와 은야쟁이가 소개팅으로 만나 5년의 연애, 그리고 결혼까지. 158동 진상부부의 알콩달콩 살아가는 이야기와 함께 해 주세요."
누나미워!,"악동같이 동생을 괴롭히기 좋아하는 누나와 당하기만 할수는 없다는 동생의 바람 잘 날 없는 일상이 시작된다. 누나와 동생의 악동같은 이야기, 누나미워!"
제목이 7080 만화,"1970년대, 어떠리라는 시골마을에서 벌어지는 순복이네 가족과 친구들 이야기. -월요일 5시 업데이트됩니다. *7080세대란 1970~80년대에 20대를 보낸 세대를 말합니다*"
발푸르기스의 너머,"19세기 프로이센, 인간 파우스트를 둘러싼 신과 악마 메피스토펠레스의 내기. 과연 승자는?"
타챠노트,n년차 프리랜서 타챠의 일상 이야기
연애사색,"""우리 모두는 누군가의 기록에 남았을, 찬란한 20대였다."" 심장이 폭행 당한 설렘에 밤 잠을 설친 그날, 널 만난 건 행운이라 여기며 방방 뛰어다니던 그날, 널 끊어내고 세상이 무너져라 목 놓아 울어본 그날 모두를 차곡차곡 적어내린 20대의 연애 일기. 휴대폰 메모장에 담긴, 흔하디흔한 기록. 서툴지만 뜨거웠던, 아프지만 찬란했던 20대 이야기. 연애사색. (자유연재)"
결혼하고 싶지 않았는데 못하게 되었다.,"서른 후반의 예민희 씨는 오빠의 결혼으로 부모님께 결혼을 종용 당한다. 결혼에 관심이 없었던 민희 씨는 이제라도 결혼에 관심을 줘 볼까 하지만 이미 결혼은 못 하는 것임을 깨닫게 된다. 1년 안에 결혼을 하든, 말든 나가 살라고 말하는 부모님. 과연 민희 씨는 결혼을 안 하는 건가? 못하는 건가?"
뱀파이어의 연금술,뱀파이어와 연금술사의 기묘한 만남. 가문의 재건과 동생을 되찾으려는 두 주인공이 시작한 조금 불편한(?) 모험일지. (자유 연재)
북한의 아이,한 아이가 북한 군인에게 쫓기면서 대한민국이라는 나라에 정착하며 사는 복희의 성장 스토리(주 1일 연재)
우리가 되기 위해서,"오래된 일기장에서 발견한 고백, 사랑하는 엄마가 사람을 죽였다. 갑작스럽게 엄마의 상실과 비밀을 마주하게 된 주인공 '한아'는 30년 전으로 돌아가 학생 시절의 엄마와 만나게 되는데… (작가 연락처:meongmeong.the.dog@gmail.com)"
가상친구(베도승격),ai의 정령(?) 보미와 외톨이 진구의 친구 사귀기! 매주 월요일 업로드 메일주소: hobakgom3081@naver.com 트위터: @hojun_tommy
집에 핀 봄팡이,"10대 , 20대 .. 정해진 길, 정해진 일만 하던 봄팡이가 처음으로 하고 싶은 일만 하며 사는 시간을 보내기 위해 백수가 되기로 결정! 고양이 두 마리와 귀염둥이 홍핸과 함께하는 백수 라이프!"
투헤븐 (to heaven),"주인공 지원은 죽은 후 지옥에 떨어진다. 착한일과 악한일에 따라 천국과 지옥에 갈 줄 알았던 것과 달리,모든 결정은 운에 의해 정해진다. 천국에 가기 위애 자신의 운을 바꾸려는 지원의 지옥 생활기."
언제라도,저승이야기
끄아악은 못말려!(베도승격),평범한 30대들의 일대기를 담은일상툰입니다
좀비탈출록 좀순,"평범한 나날을 보내던 주인공,좀순이는 어느날 동시다발적인 감염병에 휘말리게 됀다. 지옥으로 변한 대구에서의 탈출기. ""최후의 시간이다. 살아남는다는 희망도 없었다. 이것은 내가 탈출하는것에 관한 이야기다."""
커넥티드 월드(베도승격),"도시의 모든 사람은 거대 네트워크 시스템, 커넥트로 연결되어 있다. 안드로이드와 사이보그가 모두 사람으로 존중받고, 서로가 서로를 손쉽게 이해할 수 있는 세계. 하지만 그런 세계에도 갈등과 사건 사고는 존재한다."
난봉꾼의 메타픽스,"자신이 만화 속 등장인물이라는 사실을 알고 있는 주인공 평근은, 만화의 근간을 뒤흔들려는 거대한(?) 음모에 휘말리게 되는데..."
아무도 모르는 마녀,"늙지도 않고, 죽지도 않는 마녀가 살고 있다는 소문. 거리의 소년은 그 소문을 찾아 나선다. 소년과 마녀가 만나면 어떤 일이 벌어질까? 소년과 마녀의 리얼시티판타지"
빨간 고백,"전학 온 웬 잘생긴 ㄸ라이에게 잘못 걸린 것 같다. 다시 평범한 일상으로 돌아갈 수 있을까...?! < 다시 돌아온 너에게, 후회되지 않도록! 빨간 고백. > ( 격주 토요일 밤 10시 업데이트. )"
노을지는밤,노을지는 밤 무서운 이야기를 들려드릴게요
열여섯과 스물 그 사이,"가장 서투르고 순수했던 열여섯과 스물 그 사이, 10년이 지난 지금도 잊지못할 그 3년은 울고 웃고 싸우고 설레었다."
어둠의 일상툰,하루하루가 어둠의 연속인 도리도리의 일상에는 바람 잘 날이 없다 (자유 연재)
우리집 강아지는 복슬강아지,의도치않은 댕줍으로 시작되는 반려견과의 일상! 격주 토요일 혹은 일요일 업뎃합니다. 봐주셔서 감사합니다!♥♥♥
"뭐, 좀 느리면 어때",덜 자란 어른이의 일상 이야기!
이상한 나라의 애리스 [단편],"평범한 일상을 꿈꾸는 여고생, 류애리. 어느 날 평소와 다른결의 꿈을 꾸게 된다. 이상한 꿈에서 깨고 나서의 집은 어딘가 어색하기만 한데..."
같은 반 남자애,중학교를 졸업하기 전 용기를 내서 자신이 좋아하는 남자아이 (차)민현에게 고백을 한 (강)한라. 하지만 시원하게 차이고 만다. 졸업 후 더 이상 볼 일이 없다는 것에 안심하기도 전에 고등학교에서 또 다시 같은 반으로 마주하게 된 둘. 그 속에서 한라는 새로운 이상형인 (김)지한을 만나게 되는데... 과연 한라는 무사히 새로운 사랑을 시작할 수 있을까?
런어웨이,격주 금요일 정오 업데이트
이데아 프로젝트,초자연적인 힘을 가진 존재 '이데아'. 그리고 자신의 이상을 이루기 위해 이데아를 죽여야만 하는 소년.
아포피스,"평범한 고등학생 이한을, 알고보니 전생에 이집트 신? 우연한 계기로 전생의 아들들과 만나서 벌어지게 되는 에피소드"
오늘의 난,"난그림의 재밌고 유쾌한 이야기! 매주 화요일, 목요일 저녁에 만나요 :D"
일월의 선화,"인간들의 눈이 닿지 않는 곳에서 신성한 신력을 가진 신령, ‘도신’들이 수호하는 평화로운 세상에서 철없는 소녀 ‘선화’는 평소와 같이 언니와 싸우고 집을 나갔다. 그날 길을 잃었고 정체를 알 수 없는 남자의 도움으로 집으로 돌아간다. 집에 돌아오니 언니가 살해당해있었다. ‘선화’는 괴물이 되어 범인들을 모두 죽여버렸는데..."
보통의 외톨이,히키력 25%의 외톨이 이야기.
인삼류,in3u
육식 토끼,"학생신분 종료, 공식적으로 백수가 된 ‘모순’!! 때아닌 사춘기로 방황하던 어느 날 덜컥 ‘육식이 가능한 개체’라는 진단을 받게 되는데… 평범하고 싶지 않은 평범한 토끼!! 극내향 소심인 모순이의 우당탕탕 반항기"
나태한 마왕은 신과 싸우기로 결심한다.,갑작스레 인간들의 성 '소돔'에 강림한 신들. 소돔 반대편에 있는 마왕을 데려오는 말과 함께 인간들을 학살하기 시작한다. 지옥도가 펼쳐진 상황에서 성을 뛰쳐 나온 한명의 기사는 마왕을 데리러 가게된다. <격주 목요일 연재>
별종위기종,병식이에게 20만원을 갚지 않으면 그동안의 기행을 폭로하겠다는 글작가는 기어이 그림작가까지 구해서 사방으로 퍼트리겠다 다짐했다
달링은 넷우익,"두근거리는 마음으로 일본 유학생활을 시작한 우윤슬. 대학교 오케스트라 서클에서 만난 일본인 선배 잇시와 사귀게 된다. 사귀고나서 한 달이 지나자, 잇시는 독도가 한국 땅인 증거를 가져오라는데...?"
직업 : 며느리,"신세대라고 생각하는 시어머니와, 현생을 살고 있는 며느리 '쿄쿄'의 직접 겪은 실화 가족 에피소드. 연재주기는 수요일 자유연재입니다. 실화냐고 여러번 묻지마세요. 진짜 실화 맞아요.ㅡ3ㅡ 남편 봉봉도 매 회차 에피소드를 읽고 있으며, 시어머니께서도 연재하는 걸 아시고 생각나실 때 마다 들려 보고 계십니다. // 업데이트가 많이 늦어질 시 가장 빠른 공지는 블로그에 올리고 있습니다. 양해부탁드립니다."
곱은 궤(베도승격),삶의 터전이던 동네 숲에 안개가 끼면서 기이한 일들이 발생한다. 친근했던 공간이 공포의 대상으로 변모해 버린 이야기.
액터즈 나이트,신의 요람 계획에 의해 전쟁은 끝이 났다. 하지만 억지로 끝낸 전쟁의 대가로 수많은 사람들이 요람에 갇혔다. 처음 요람에 갇힌 생존자들은 이 곳에서 나가고자 하였지만 시간이 지날수록 포기하고 체념하고 순응한다. 얼마 만큼의 시간이 흘렀을까. 여태껏 미동도 하지 않던 요람의 결계가 처음으로 움직이기 시작한다.
도개걸윷모,"신라시대. 윷놀이 지하 옥에 갇혀버린 오라버니를 구하려면 ""아찬 황치웅""이 하는 윷놀이를 해야 한다....도깨비들이 말을 움직여주는 요상한 윷놀이!! 그런데...도깨비들이 해방되길 원한다고? 그래. 너희를 해방시킬 방법을 찾아볼테니, 너희도 내 오라버니 구하는 것 좀 도와줘... #퓨전사극판타지#로맨스#액션"
나랑 밥 먹을래?(베도승격),도망치듯 고향 동명리로 돌아간 주인공 한서. 한 박자 쉬어가려 했던 한서는 결벽증을 가진 이경과 요리를 계기로 엮이게 된다. 첫사랑 태오와 새롭게 이어지는 관계와 호기심을 자극하는 이경 사이에서 겪는 한서의 요리 섞인 로맨스 스토리!
좀비다이어리,정신을 차려보니 좀비. 격리 구역을 탈출해야 한다.
연애 고수되는 법(베도승격),크리스마스 하루 전 첫사랑에게 차인 한유나. 연애 뮤투버를 보며 연애스킬들을 늘려 전남친에게 복수하려 하는데... 그러기 위해서는 전남친의 질투심을 유발해야 한다. 로맨스 영화를 만들어야 하는 철벽남 도현우. 하지만 그는 모태솔로다... 아무리 생각해도 연애의 감정을 모르겠다. 결국 둘은 서로의 목표를 위해 계약 썸(?)을 타기로 한다! 격주에 한화씩 올라옵니다!
사이코 엔젤,감정을 못 느끼는 천사 미가엘은 천국에서의 골칫거리이다. 이런 그는 감정을 찾기 위해 지상에서 인간으로 살아가는데..
저승길잡이,"이승과 저승을 연결하는 길, 망자는 저승에 닿기 위해 저승길잡이의 안내를 받게 된다. (매월 둘째 주, 넷째 주 연재)"
